gameType,countGrinder,countObnoxious,countWhale,countLowStakes,avgBankroll,candidateBehaviorStyle,candidateBankrollStyle,candidateBalance,deltaMood,deltaProfit
Poker,1,2,2,2,2825.2857,OBNOXIOUS,HIGH_ROLLER,17241,-0.08456366666666666,1944.6866666666667
Blackjack,0,0,0,0,0.0000,GRINDER,HIGH_ROLLER,24216,0.0,1675.9033333333334
Craps,1,1,0,1,9393.6667,WHALE,HIGH_ROLLER,23158,0.025404,8030.433333333333
Roulette,0,0,0,0,0.0000,LOW_STAKES,EVEN_STEVEN,1080,0.0,247.07
Craps,0,0,0,0,0.0000,WHALE,HIGH_ROLLER,12238,0.0,2895.1266666666666
Poker,0,0,0,0,0.0000,WHALE,HIGH_ROLLER,9166,0.0,0.0
Roulette,0,0,0,0,0.0000,OBNOXIOUS,LOW_ROLLER,392,0.0,28.046666666666667
Blackjack,0,1,0,0,344.0000,GRINDER,HIGH_ROLLER,21172,-0.06339966666666666,1000.1866666666666
Blackjack,0,0,0,1,532.0000,GRINDER,EVEN_STEVEN,612,-0.04772066666666667,12.5
Poker,1,3,0,1,2984.6000,GRINDER,EVEN_STEVEN,993,-0.025132,296.6
Blackjack,0,1,1,2,6304.5000,LOW_STAKES,EVEN_STEVEN,1229,0.0023986666666666657,829.05
Roulette,1,0,0,1,3676.5000,WHALE,HIGH_ROLLER,19938,0.06709133333333334,2075.7533333333336
Roulette,1,0,0,0,597.0000,GRINDER,HIGH_ROLLER,12690,0.016480333333333333,3337.1833333333334
Blackjack,0,1,0,0,20589.0000,GRINDER,EVEN_STEVEN,915,-0.099811,129.02666666666667
Poker,0,1,1,0,12906.5000,WHALE,HIGH_ROLLER,11686,-0.28445966666666667,1780.5566666666666
Craps,0,0,0,0,0.0000,GRINDER,EVEN_STEVEN,498,0.0,52.93333333333333
Blackjack,0,1,0,3,789.5000,WHALE,HIGH_ROLLER,19636,-0.016253666666666666,6913.846666666666
Craps,3,0,1,2,2554.8333,LOW_STAKES,EVEN_STEVEN,1519,0.005192666666666667,-227.75
Craps,1,0,0,0,1065.0000,WHALE,HIGH_ROLLER,23278,0.071959,7765.246666666667
Craps,2,1,1,2,3965.6667,LOW_STAKES,EVEN_STEVEN,1705,0.014612333333333333,-997.7466666666667
Poker,2,0,1,1,4544.0000,WHALE,HIGH_ROLLER,19517,-0.044795,2229.4333333333334
Blackjack,2,1,0,1,4501.2500,LOW_STAKES,EVEN_STEVEN,714,-0.0010166666666666675,583.8733333333333
Blackjack,1,1,1,1,11415.5000,GRINDER,EVEN_STEVEN,1149,0.012382666666666667,-184.30333333333334
Craps,3,1,0,0,5551.7500,OBNOXIOUS,EVEN_STEVEN,1709,0.007168333333333332,-1878.4633333333334
Blackjack,0,1,1,1,5178.6667,LOW_STAKES,LOW_ROLLER,584,-0.026538000000000003,1303.0666666666666
Craps,1,2,1,2,6736.5000,LOW_STAKES,EVEN_STEVEN,512,0.021360999999999998,278.07
Poker,1,2,2,1,8664.1667,GRINDER,HIGH_ROLLER,17530,-0.13271666666666665,2624.8033333333333
Craps,2,1,1,1,5427.4000,WHALE,HIGH_ROLLER,17262,-0.0015396666666666662,7656.663333333333
Poker,0,1,0,0,6861.0000,WHALE,HIGH_ROLLER,13886,-0.44978266666666666,1290.8166666666666
Poker,0,0,0,0,0.0000,WHALE,HIGH_ROLLER,20910,0.0,0.0
Blackjack,1,2,1,0,9323.5000,WHALE,HIGH_ROLLER,5431,0.05363233333333334,1265.3733333333332
Craps,1,0,0,0,1463.0000,GRINDER,EVEN_STEVEN,1780,0.015536666666666669,43.51
Poker,2,1,0,0,5167.3333,WHALE,HIGH_ROLLER,11701,0.005197333333333333,1419.9433333333334
Craps,5,1,1,0,10952.1429,GRINDER,HIGH_ROLLER,3126,-0.001424999999999999,2977.0466666666666
Poker,1,0,0,0,1658.0000,WHALE,HIGH_ROLLER,8057,-0.11611399999999998,517.9566666666667
Blackjack,1,1,1,0,13567.3333,WHALE,HIGH_ROLLER,7135,0.050727999999999995,-1162.4966666666667
Craps,3,1,0,1,10180.8000,OBNOXIOUS,LOW_ROLLER,566,-0.005004333333333334,-1320.74
Blackjack,1,1,0,0,7720.5000,OBNOXIOUS,LOW_ROLLER,316,-0.007405666666666667,-705.2733333333333
Blackjack,1,2,0,1,6279.0000,LOW_STAKES,LOW_ROLLER,386,0.049779333333333335,-2099.35
Poker,0,2,1,1,8212.2500,GRINDER,HIGH_ROLLER,8208,-0.05129633333333333,1644.5066666666667
Blackjack,1,1,2,0,10431.7500,WHALE,HIGH_ROLLER,8421,0.023860000000000003,2743.7266666666665
Craps,2,2,1,0,6364.0000,OBNOXIOUS,HIGH_ROLLER,8295,0.0043803333333333324,-736.8033333333333
Poker,3,3,1,0,5416.1429,WHALE,HIGH_ROLLER,13458,-0.010392333333333333,1695.4333333333334
Blackjack,0,0,1,0,12528.0000,GRINDER,EVEN_STEVEN,1650,-0.052770000000000004,1831.8766666666668
Poker,0,1,0,1,1019.0000,WHALE,HIGH_ROLLER,21002,-0.5946706666666667,620.53
Blackjack,0,0,0,1,709.0000,OBNOXIOUS,HIGH_ROLLER,16049,-0.14861966666666668,135.13
Roulette,0,1,0,1,1061.0000,GRINDER,HIGH_ROLLER,7329,0.03443966666666667,1848.1633333333334
Craps,0,0,0,3,744.3333,WHALE,HIGH_ROLLER,5970,-0.03200066666666666,2372.673333333333
Poker,1,1,0,0,614.5000,OBNOXIOUS,HIGH_ROLLER,22410,-0.164454,718.4533333333334
Poker,1,3,1,0,5410.4000,GRINDER,HIGH_ROLLER,17153,-0.11307666666666667,2323.91
Roulette,0,1,0,0,13986.0000,LOW_STAKES,EVEN_STEVEN,709,0.04023633333333333,-1152.4733333333334
